# id network 	 title 
# Community0
618	Encuentro con los intendentes del grupo Esmeralda
624	Síntesis
648	Se saldó una deuda de la democracia
649	Un derecho de todos los ciudadanos
650	El divino tesoro de la información
653	Michetti echó al funcionario que insultó a Cristina
669	Arnold, de dirigente K a diplomático en Costa Rica
670	Detenido por una amenaza contra Macri
683	Alejandro Amor: "Los ciudadanos son más que clientes"
684	Daniel Gerold: "La propuesta oficial es realista"
685	Mariano Lovelli: "Puede impugnarse otra vez"
686	Néstor Pitrola: "Hay un negociado evidente"
691	Awada y Vidal se mostraron en el conurbano
710	Síntesis
728	Piden informes a Suiza y a Panamá por Grindetti
733	A la política local le pidió "manejar las ansiedades"
734	Postales en Nueva York
736	El contraste entre dos estilos opuestos
739	Ángel Tello: "Podemos organizar con Francia algo en conjunto en la Antártida"
741	Anses: revisan unas 50 designaciones
743	Exigen un aumento urgente para jubilados
746	Triple fuga: destituyen a ocho policías
748	Pichetto advirtió sobre la venta de espacios verdes
758	Síntesis
760	Arenga de Cristina a militantes en La Plata
774	El escenario previo a un convocatoria
779	Imputaron por supuesto fraude a Mariano Recalde
780	Otro empresario K en la mira de la Justicia
781	Habilitan el depósito de cheques sin ir al banco
782	Acusado de corrupción, investigan a Julio Pereyra
785	De Nueva York al conurbano
795	Macri encabezará hoy el timbreo con sus socios
796	Hoy se casa Urtubey con la actriz Isabel Macedo
797	Reunión con el ex presidente Cardoso
800	El empresario Tomeo, lejos de Aníbal Fernández
801	Síntesis
813	Síntesis
815	Todas las fuerzas de Cambiemos acompañaron a Macri en el timbreo
817	Detalles de la iniciativa
819	Macri: "Ahora el mundo observa lo valiosos que somos"
831	Endurecen el control de prácticas monopólicas
833	Sin escalas: Aníbal Fernández volvió al país y fue a los tribunales
837	Debate por la figura del informante
839	Síntesis
842	Más de 800 preguntas le esperan hoy a Peña
856	Se aplaca la interna con Monzó
858	En el Senado, Peña aseguró que "se está saliendo de la crisis y de la recesión"
864	Hay que encarar otras políticas
865	Las peores condiciones para los niños
866	Un desafío cumplido, pero preocupante
867	Miradas sobre la pobreza
870	Avanza el proyecto de debates presidenciales
882	Foradori: “La Cancillería no está para nada acéfala”
890	Cambios con equidad y transparencia
894	Condecoraron a Cristina Kirchner en Ecuador
897	Procesan a Abbona por no haber denunciado delitos en Aerolíneas
898	El Congreso supervisará las escuchas judiciales
899	Milani criticó a Verbitsky y se aleja de los Kirchner
903	Encuentro paralelo del PJ y cumbre con Frigerio
912	Síntesis
914	Massa y la escuela de gobierno
918	Políticas que no atacan las causas de fondo
922	El bono no está definido, dijo Triaca
923	Abiertos al diálogo en la CGT
924	Macri, ante el espejo de sus promesas
925	Las placas del CCK, como en un museo
936	Malcorra y Frigerio exponen en el Congreso
937	Scioli habría "lavado" expedientes sospechosos
939	Machete oficial: Peña dio su informe con mucha ayuda
941	Síntesis
944	El "Fora Temer" se hizo oír frente a la quinta presidencial
947	Oyarbide declarará por las presiones
952	Abuelas de Plaza de Mayo encontró al nieto 121
954	Optimista, Macri cree que la CGT no hará paro
968	Procesaron a Timerman por abuso de autoridad
971	Reclaman celeridad para que el Senado trate la emergencia social
972	Síntesis
973	El plus genera diferencias entre los gremios y los empresarios
976	Negocian con Francia la compra de cuatro buques
981	Cautelosa, Vidal evitó definiciones sobre el bono de fin de año
984	Casaretto insistió en que se debe convocar a un diálogo social
989	Macri pidió que "no se victimice" la ex presidenta
990	Cristina vuelve al ruedo antes de la indagatoria
991	La Uocra acordó una mejora semestral del 17%
992	La Uocra acordó una mejora semestral del 17%
995	Niegan una ola de despidos a fin de año
999	El FPV bonaerense se unifica contra los proyectos de Vidal
1000	Cristina volvió y reclamó una reforma de la Constitución
1001	Mensaje de Malcorra a la Cancillería
1002	En campaña
1003	Críticas de Pichetto a las subas impositivas
1014	Batalla numérica por el impacto de la inflación en el sueldo
1015	Los bancarios presionan con otro paro para reabrir las paritarias
1017	Sobreseyeron a Alba, la monja del caso López
1019	Casanello rechazó un beneficio para Báez
1020	Furia radical por el acto de Cristina: "Es un robo más"
1021	En el Gobierno dicen que Scioli no le pidió protección a Macri
1022	Urtubey se reunió con el grupo Esmeralda
1024	Con la promesa de "seguir bajando" la inflación
1030	La CGT reclama un plus "para todo el mundo"
1032	Impulsan una ley de protección a víctimas
1038	Prat-Gay denunció la herencia ante el FMI
1042	Síntesis
1045	La "industria" de certificados adulterados está bajo la lupa
1046	Crece la tensión en la CGT por el bono anual
1047	Macri: "La pobreza cero será a largo plazo"
1050	El gobierno que trabaja por la foto perfecta
1052	Corte Suprema: el PJ quiere jubilar a Highton de Nolasco
1057	Más allá del resultado, las dos CTA ya preparan una medida de fuerza
1060	Síntesis
1068	Advierte la UIA que no podrá pagar por el bono
1069	La DAIA reclamó a la Justicia que reabra la denuncia de Nisman
1072	Máxima trajo a la Argentina una propuesta de la ONU para la inclusión financiera
1073	Piden auditar a funcionarios por su rol en el rubro satelital
1075	El país está "en condiciones" de revertir los problemas sociales
1076	Una relación que no fue mucho más allá de la cordialidad
1077	Objetan una distinción académica a Cristina
1078	Rumores sobre la renuncia del ministro Cenzón
1079	Complican en la Justicia a Fellner
1080	Síntesis
1081	Una agenda maratónica para potenciar la agenda del desarrollo
1084	Se acordó la paritaria de Comercio con un aumento anual del 39%
1086	Fellner, fuera de la AGN por su situación judicial
1087	Plan en Córdoba para combatir la indigencia
1088	Las grandes empresas se preparan para el bono
1091	María Julia Alsogaray, con libertad condicional
1092	Allanamientos por una causa contra De Vido
1093	Una foto con Scioli en territorio bonaerense con mensaje político
1095	En el homenaje a Yrigoyen, Macri recibió a la UCR y ratificó su compromiso con la alianza
1098	Oficializaron el control civil de fondos de la policía bonaerense
1099	Máxima: "Ser pobre es caro, hay que generar inclusión financiera"
1100	Macri reclamó un mayor compromiso a los empresarios
1101	Los "brotes verdes" aún vienen lento
# Community1
0	Apoyada por la militancia, Bonafini resiste la orden judicial de arresto
1	Una movilización creciente, con sesgo kirchnerista
2	"No puedo hacer una excepción", dijo el juez
3	Eterna amante de la hostilidad y el conflicto
4	El Gobierno respaldó la decisión del juez
6	Reabren una causa contra Milani y debe ir a declarar Stiuso
7	Báez deberá declarar bajo juramento, tras denunciar "aprietes"
10	Massa, con Macri y Peña en la Rosada
14	Las críticas de Carrió molestaron al Gobierno
17	El próximo round de Macri contra Maduro
21	Levantaron el pedido de captura de Bonafini, que será indagada en la sede de Madres
22	Criticó el Gobierno la "apropiación" de los derechos humanos
23	Destrozos en La Plata: acusan a La Cámpora
24	Detienen al agresor de Nuevo Encuentro
25	Se mató el jefe de seguridad de tribunales
26	Convocatoria a la resistencia en Mar del Plata
27	Investigan la presencia de células terroristas
30	Canicoba investigará la denuncia a Gemignani
31	Citan por fraude a la ex procuradora del Tesoro
38	El Gobierno no renovará el pacto antidespidos con los empresarios
40	"No conozco a De Vido"
42	Amenaza en un hotel donde exponía Bonafini
46	Dos personas amenazaron una vivienda de Macri
48	Casi 3000 documentos en el sitio de LN Data
51	Queja de los fieles por la invasión de la política
52	Para el Gobierno, "se politizó una marcha genuina"
55	José López y De Vido, a la Justicia por dos causas
56	Cristina y Stolbizer, cara a cara en una mediación con pronóstico reservado
57	Amplían la denuncia de Carrió contra Scioli
59	Gimnasia: en el Gobierno promueven una "pausa activa"
60	Críticas  en EE.UU. hacia la Argentina
61	Síntesis
62	De Vido señaló a gobernadores e intendentes por el desvío de fondos
63	En las provincias dicen que el ex ministro no podía no saber
64	Bergman condicionó las obras en Santa Cruz
65	Fracasó la mediación entre Cristina y Stolbizer y escaló la disputa con nuevas denuncias
66	Llegaron temprano y enfrentaron gritos a favor y en contra
67	La ex presidenta se reunió con Scioli para dar una señal de unidad en pleno avance judicial
68	Máximo, con perfil más alto y críticas a Macri
70	Allanaron oficinas del IOMA por la acusación de Carrió contra Scioli
78	Síntesis
83	El equipo de Vidal, con la UCR bonaerenses
84	Impulsan un paro de docentes en la provincia
86	Boudou suma una nueva acusación en la Justicia
88	Stolbizer, contra Báez, Cristina y Máximo
96	Síntesis
99	Firmas de servicios públicos, en crisis
102	Allanan una empresa vinculada con el ex gobernador Urribarri
103	Identifican a la víctima 85 del atentado a la AMIA
104	El juez fue a las Madres y Bonafini se negó a declarar
105	Bonadio liberó del embargo la pensión de la ex presidenta
108	Presentan una segunda etapa del plan de transparencia del Estado
110	El 76% de la gente se muestra insatisfecho con la situación económica del país
114	Flexibilizan el visado con China
115	Síntesis
117	Lifschitz y Urtubey llamaron al consenso
118	Lifschitz y Urtubey llamaron al consenso
122	Macri enfrenta las primeras rebeldías e intentos revisionistas
124	El massismo decide sus próximos pasos
127	López, el hombre de traje azul, con un discurso articulado y olvidos selectivos
129	Cristina se reunió con Bonafini  antes de la ronda 2000 de las Madres y la calificó de "ejemplo"
130	El Gobierno "corrigió" a Macri y repudió "el terrorismo de Estado"
132	Santa Cruz: protesta de la policía por falta de pago
133	El Barrio Kirchner: una costosa alegoría de la obra pública en la última década
139	Agrupaciones sociales y de derechos humanos lideraron la protesta
142	Mario Ishii: “Hay sectores del PJ que quieren que al Gobierno le vaya muy mal”
147	Concluirán las obras en el barrio Kirchner
148	Síntesis
153	Si pierde en la ONU seguirá en el gabinete
156	Fe de erratas
